# 2026-09-02 15:09 CST (mac): Record the reproducible local-only literature archive for both hosts; PDF payloads under downloads/ are intentionally ignored by Git.
category	year	title	url	filename	bytes	pages	sha256
# 2026-09-04 13:19 CST (linux): Add 10 source-verified phase-three references for EMRI mass/redshift semantics, waveform-model uncertainty, Bayesian self-consistency traps, population-level bias, event-sensitive differentiation, TDI units, surrogate extrapolation, and GPU reliability. PDF payloads remain local-only and ignored by Git.
lisa	2017	Science with the space-based interferometer LISA. V: Extreme mass-ratio inspirals	https://arxiv.org/abs/1703.09722	LISA_2017_EMRI_science_arXiv1703.09722.pdf	2129882	22	9b55e94ba0866a0550e88030c6b673f7a69c7b424c75ad478a00f36e56d20766
uncertainty	2014	Novel Method for Incorporating Model Uncertainties into Gravitational Wave Parameter Estimates	https://arxiv.org/abs/1412.3657	GW_2014_model_uncertainty_marginalization_arXiv1412.3657.pdf	936595	6	4fcdb5348ba1b12635b8d4d4ecfa7311222de97e10f4a8ad13a2e015d0d9ae1b
statistics	2018	Validating Bayesian Inference Algorithms with Simulation-Based Calibration	https://arxiv.org/abs/1804.06788	STAT_2018_simulation_based_calibration_arXiv1804.06788.pdf	505956	19	64ed9a85a4467380afb446588d4cb34788cc3a90ab4c95986f230f0372b9fed6
uncertainty	2015	Quantifying and mitigating bias in inference on gravitational wave source populations	https://arxiv.org/abs/1504.02767	GW_2015_population_bias_arXiv1504.02767.pdf	488815	11	35457d228bce77c2e81dd051fefbe9de6441736394fdbf8039dfbb26aa6855f7
uncertainty	2022	Accumulating errors in tests of general relativity with gravitational waves: overlapping signals and inaccurate waveforms	https://arxiv.org/abs/2210.04769	GW_2022_accumulating_systematics_arXiv2210.04769.pdf	2155705	13	7d8a8be472a499e3a8b87d2d67dd803286555faf58e042a873e4459b42cdef64
modeling	2019	A Precessing Numerical Relativity Waveform Surrogate Model for Binary Black Holes: A Gaussian Process Regression Approach	https://arxiv.org/abs/1903.09204	MODEL_2019_GPR_waveform_surrogate_arXiv1903.09204.pdf	1638590	13	d9b6f25beb9ed49ab4d98eda705de6dedeeb767d40e8e65069e05cd003cb5951
numerics	2026	Differentiable Parameter Optimization for DAEs with State-Dependent Events	https://arxiv.org/abs/2605.05395	NUM_2026_differentiable_DAE_events_arXiv2605.05395.pdf	1016965	20	2c886bbc9945ca68a996778f83cf1ad989fddfc47fa7c9f7c5b256dafb027dc6
lisa	2021	Adapting time-delay interferometry for LISA data in frequency	https://arxiv.org/abs/2103.06976	LISA_2021_frequency_TDI_arXiv2103.06976.pdf	828446	7	4ef13718072065bec94c3357abee2cffc06355082dfbad6e657cf5e2f6cd58e1
reliability	2023	Understanding the Effects of Permanent Faults in GPU's Parallelism Management and Control Units	https://arxiv.org/abs/2306.10856	HPC_2023_GPU_permanent_faults_arXiv2306.10856.pdf	868627	12	7d29a11c38a5d95b7cfef855ecff7e996ef00963c895a503921c0fe60c6d6f89
modeling	2022	Numerical-relativity surrogate modeling with nearly extremal black-hole spins	https://arxiv.org/abs/2208.02927	MODEL_2022_extremal_spin_extrapolation_arXiv2208.02927.pdf	628455	18	e27f217fd15ec6b793f6014a2ae58231432a6bbe6799baa25a2447ca6bc21c64
